Title,PDF,URL,Author,Year,Grade,Standards,Subjects,Values,Sponsors,Keywords,Notes
Naken taitaartat alagnat?,07022014_berry_copy1.pdf,,Gayla Pedersen,2014,K - 12+,,Alutiiq Language,"Land - nunapet, Subsistence - unguwacirpet, Learning - liicirpet, Language - Sugt'stun niuwacipet, Sharing - ilakuisngukut","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","story, stories, book, Qbook, children, berry","The Alutiiq Museum and Native Village of Afognak released the book ""Naken taitaartat alagnat?"". Written by Gayla Pedersen, and illustrated by Gloria Selby, the story is about a girl and her mother learning about the life cycle of a berry. Original book produced by the Native Village of Afognak through a grant from the Administration for Native Americans (#90NL0530-01-00). An app version was produced through a grant from the Institute of Museum and Library Services (IMLS Enhancement NG-03-15-008-15) and is available in the App Store."
Ikuwitii,ikuwitii_niitaqa.pdf,,Kathy Nelson,2013,K - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Stewardship - nunapet carlia'arluki, Language - Sugt'stun niuwacipet, Respect - ling'aklluki","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","birds, salmon, spring, story, stories, book, book, Qbook, JP","The Alutiiq Museum and Native Village of Afognak released the Alutiiq language children's story book ""Ikuwitii"", an Alutiiq legend about golden crown sparrows. Ikuwitii is a John (JP) Pestrikoff story written by Kathy Nelson and illustrated by the Port Lions 2012-2013 students."
Cestun lla et'a?,weather_book_2_layout_edit.pdf,,Gayla Pedersen,2013,K - 12,,Alutiiq Language,"Land - nunapet, Stewardship - nunapet carlia'arluki, Language - Sugt'stun niuwacipet","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","weather, story, stories, book, book, Qbook, storytelling","The Alutiiq Museum and Native Village of Afognak released the book ""Cestun lla et'a?"" written by Gayla Pedersen, and illustrated by Sandee Drabek. The story depicts a child learning about seasons and weather from their grandmother. Original book produced by the Native Village of Afognak through a grant from the Administration for Native Americans (#90NL0530-01-00). An app version was produced through a grant from the Institute of Museum and Library Services (IMLS Enhancement NG-03-15-008-15) and is available in the App Store."
Qateryuk,qateryuk_final.pdf,,Candace Branson,2017,8 - 12+,,Alutiiq Language,"People - suupet, Language - Sugt'stun niuwacipet, Trust - sugtanartukut, Respect - ling'aklluki","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","trust, relationships, relationship, book, books, story, stories, Qbook, traditional, storytelling","Adapted by Candace Cutmen Branson from a traditional story recorded and published by Frank Golder. Translated by Candace Cutmen Branson with assistance from Nick Alokli, Sally Carlough, Kathryn Chichenoff, April Counceller, Alisha Drabek, Julia Fine, Mary Haakanson, Susan Malutin, Julia Naughton, Florence Pestrikoff, Phyllis Peterson, and Sophie Shepherd. Illustrated by David Tucker. Published with financial support from the Institute of Museum and Library Service (IMLS Enhancement NG-03-15-008-15). Book also available in the App Store."
Kaugya'angcum qawangurtuwa,small_fox.pdf,,April Laktonen Counceller,2017,K - 12+,,Alutiiq Language,"People - suupet, Learning - liicirpet, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","fox, story, stories, Qbook, book, books, storytelling, children","Written by April Isiik Laktonen Counceller with assistance from Nick Alokli, Sally Carlough, Kathryn Chichenoff, Mary Haakanson, Susan Malutin, Julia Naughton, Florence Pestrikoff, Phyllis Peterson, and Sophie Shepherd. Illustrated by Mary Ruskovich. Published with financial support from the Institute of Museum and Library Service (IMLS Enhancement NG-03-15-008-15). Book also available in the App Store."
Uksumuuq,winter_book.pdf,,Michael Bach,2014,K - 12+,,Alutiiq Language,"Land - nunapet, Stewardship - nunapet carlia'arluki, Language - Sugt'stun niuwacipet","Native Village of Afognak, Afognak Native Corporation, Other","book, books, Qbook, story, stories, winter, land, storytelling,","Native Village of Afognak along with Afognak Native Corporation published ""Uksumuuq"" with financial support from the Administration for Native Americans Grant #90NL0530-01-00. Written by Michael Bach, Illustrated by David Tucker. Edited by Alutiiq language learners through the Alutiiq Teacher Mentorship Project, administered by Native Village of Afognak. This book is also available in the App Store."
Cuqllirpaaq Iqalluk Kiagmi,final_nativevillageofafognak_first_fishbook_r.pdf,,Kodiak High School Alutiiq Language Students,2013,8 - 12+,,Alutiiq Language,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Elders - cuqllipet, Sharing - ilakuisngukut, Respect - ling'aklluki","Kodiak Island Borough School District, Native Village of Afognak, Afognak Native Corporation","fish, respect, elders, spring, subsistence, book, books, storyteller, traditional, Qbook, high school, classs,","Native Village of Afognak produced and published this title with financial support from the Afognak Native Corporation and the Administration for Native Americans Grant #90NL0530-01-00. Illustrated by the Kodiak High School Art Class, written by the Kodiak High School Alutiiq Language Class during the 2012-2013 school year. Graphic design by Anthony White. Coordinated by Alisha Drabek, Candace Branson, and Bonnie Dillard. Edited by Alutiiq language learners and elders through the Alutiiq Teacher Mentorship Project. Administered by Native Village of Afognak."
Angayumeng-llu Aiwiyukuk,kayaking.pdf,,April Laktonen Counceller,2013,3 - 12+,,Alutiiq Language,"Land - nunapet, Stewardship - nunapet carlia'arluki, People - suupet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Afognak Native Corporation, Other","kayak, kayaking, friend, story, stories, book, books, Qbook,",With financial support from Afogank Native Corporation and the Administration for Native Americans Grant #90NL0530-01-00 Native Village of Afognak produced this title. Written by April Laktonen Counceller with Nick Alokli and Florence Pestrikoff. Illustrated by Gloria Selby. Also available in the App Store.
Naama Amitatuk,naama_amitatuk_compressed.pdf,,Alisha Drabek,2013,K - 12+,,Alutiiq Language,"Language - Sugt'stun niuwacipet, Humor - englarstaisngukut","Native Village of Afognak, Afognak Native Corporation, Other","weasel, where, find, story, stories, book, books, Qbook, storytelling",With financial support from Afogank Native Corporation and the Administration for Native Americans Grant #90NL0530-01-00 Native Village of Afognak produced this title. Written by Alisha Drabek. Illustrated by Bruce W. Nelson. Also available in the App Store.
Alutiiq Language Preschool Curriculum,preschool_curriculum.pdf,,Native Village of Afognak,2014,Pre-K - K,,"Math, Social Studies, Alutiiq Language, Art, Health, Other",Learning - liicirpet,Native Village of Afognak,"curriculum, preschool, lessons, learning, language, program",Produced by Kodiak Alutiiq Qik'rtarmiut Teacher Mentorship Project. Administered by Native Village of Afognak with financial support from an Administration for Native Americans Grant #90NL0530-01-00.
Mood Swings Labels,mood_swings_labels_final.pdf,,Alisha Drabek,2012,K - 12+,,"Language Arts, Alutiiq Language","People - suupet, Learning - liicirpet, Humor - englarstaisngukut",Other,"emotion, emotions, labels, label","Produced by Alisha Drabek with editorial support from elders. Use the labels to practice phrases for common emotions. Alternatively, you can draw your own facial expressions or take family photos of each emotion to add the labels to. It's a fun way to practice Alutiiq and let people know how you feel!"
Teaching Resource Workbook,level_1__2_language_book.pdf,,Native Village of Afognak,2009,Pre-K - 5,,"Language Arts, Alutiiq Language",Learning - liicirpet,"Kodiak Island Borough School District, Alutiiq Heritage Foundation (Alutiiq Museum), Native Educators of the Alutiiq Region, Other, KMXT","curriculum, lessons, worksheets, workbook, resources, teaching, teach",Produced through and Administration for Native Americans (ANA) Grant number 90NL0413/01. Publication layout and design by Alisha S. Drabek. Edited Alutiiq by April Laktonen Counceller. Edited English by Alisha S. Drabek.
Thematic Units,thematic_units_.pdf,,Native Village of Afognak,2009,K - 5,,"Math, Science & TEK, Social Studies, Alutiiq Language, Other",Learning - liicirpet,"Kodiak Island Borough School District, Alutiiq Heritage Foundation (Alutiiq Museum), Native Educators of the Alutiiq Region, Other, KMXT","curriculum, theme, themes, thematic unit, thematic units, lessons, workbook, worksheets","Produced through an Administration for Native Americans (ANA) Grant Number 90NL0413/01. Reprint of edited curriculum units from the Chugachmiut Thematic Units Books, developed by the Chugachmiut Culture and Language Department, Donna Malchoff, Director through a U.S. Department of Education, Alaska Native Education Grant Number S356A50023. Publication Layout & Design by Alisha S. Drabek Edited by Teri Schneider & Alisha S. Drabek"
Una taquka'angcuk ag'llria kuigmen,bearbook.pdf,,Alisha Drabek,2013,K - 2,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut","Native Village of Afognak, Afognak Native Corporation, Other","counting, numbers, number, bear, river, Qbook, books, book, story, stories, storytelling, children",Written by Alisha Drabek. Illustrated by Sandee Drabek. This book was produced and published with financial support from Afognak Native Corporation and the Administration for Native Americans Grant #90NL0530-01-00.
Colors Memory Game and Flashcards,colors_flashcards.pdf,,Alisha Drabek,2012,K - 12,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","game, colors, color, matching, flashcard, flashcards, worksheet","Using a modified set of KRaas'kaat flashcards with only the ""-sqaq"" or ""one that is..."" endings you can print on card stock and cut out 2 copies"
Blank Colors Worksheet,kraaskaat_blank.pdf,,Alisha Drabek,2012,12-Mar,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","colors, color, worksheet, blank",Produced by Alisha Drabek for use in the Kodiak High School Alutiiq language class. Students are expected to color in the appropriate color based on the word or sentence that is represented.
Colored Pencils Poster,colorslabeled.pdf,,Alisha Drabek,2012,K - 12,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","colors, color, poster, worksheet, labeled",Labeled poster or worksheet of Alutiiq colors. Produced by Alisha Drabek as part of the Picture Dictionary.
Blank Colored Pencil Worksheet,kraaskaatblank.pdf,,Alisha Drabek,2012,12-May,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","color, colors, worksheet, blank, pencil",Blank worksheet with colors. Students are expected to label the appropriate pencil with the appropriate color word. Developed and modified by Alisha Drabek for original use in the Picture Dictionary.
Colors Poster,colors_poster.pdf,,Alisha Drabek,2012,K - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","colors, color, poster, questions, question",Colors poster with two accompanying questions: Which color? and Which color do you like?
"Colors Flashcards, Full Sheet",colorsfullsheetflashcards.pdf,,Alisha Drabek,2012,3 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","color, colors, flashcards, flashcard, game, matching","Colors flashcards and presentation. Full page flashcards including words and questions. May be used in a presentation, or as part of a matching game if two sets are printed out."
Colors Flashcards,colors_flashcards_no_label.pdf,,Alisha Drabek,2012,3 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","color, colors, flashcards, flashcard, blank","Blank, small flashcards for learning colors in Alutiiq. Flashcards can be left blank, or self labeled to better test the learner."
Colors Board Game,colors_board_game.pdf,,Alisha Drabek,2012,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","colors, color, game, games,","In order to play the game, players will need to understand Alutiiq numbers, directions, and colors. First one to the finish is the winner of this game."
House Vocabulary,house.pdf,,Alisha Drabek,2012,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","house, home, vocabulary, poster, worksheet, picture dictionary, household, coloring",Developed by Alisha Drabek for use the Picture Dictionary. Household vocabulary sheet may be printed out to be used as a coloring sheet.
Household Labels,householdobjectstickers.pdf,,Alutiiq Museum,2009,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Alutiiq Heritage Foundation (Alutiiq Museum), Other","house, home, household, stickers, labels, label, vocabulary","Originally created through the Alutiiq Museum Language Program, the Household Object Stickers set is intended to be printed on Avery Removable Laser Labels #6460, so that they can adhered (and later removed) to objects around your house or classroom."
House Poster,house_poster.pdf,,Alisha Drabek,2012,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","house, home, floor plan, poster, floor, plan, game, vocabulary","Used within the Kodiak High School Alutiiq Language class, this Floorplan slide is a simplified version of the Picture Dictionary floorplan. It is a helpful tool for learning room names with out all the clutter of all the other identified objects. The word list on the left column is then used to see if students can identify where different objects are located. To identify where objects are located (for example) ask ""Naama engleq?"" - ""Where is the bed?"" Then students should answer ""Engleq qawarwigmi."" - ""The bed is in the bedroom."" (Note ending change on the room name to indicate that the object is located in that room)."
Seasons,seasons.pdf,,Alisha Drabek,2012,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","weather, fall, spring, winter, summer, season, season, year","The four seasons in Alutiiq. The first page shows the season terms (from top left to bottom right) for Winter, Spring, Summer and Fall. The second page shows the season endings for ""in ____"". The last page has the images with no text, so learners can practice the season terms."
Weather Board Game,weather_board_game.pdf,,Alisha Drabek,2012,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","weather, game, fall, spring, summer, winter, practice","Intended as a simple learner group activity, this game board is useful to practice weather phrases from memory. Each player should have a game piece (borrowed from store bought game or coins or pebbles) and 1 dice. Players can play to see who gets back to the start first or see how many times they can reach the end within a time frame. Players should be directed to only speak Alutiiq when playing, saying the Alutiiq numbers as they count their spaces and land the image of a weather scene. The board's starting point is labeled as ""Aularniq"" - ""The start."" The blank box is intended to represent foggy or overcast."
Weather Flashcards,weather_flashcards.pdf,,Alisha Drabek,2012,K - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","weather, hot, cold, summer, winter, fall, spring, flashcard, flashcards","Flashcards were originally developed for use with the Kodiak High School Alutiiq language class. The two core questions at the top of most of these resources are ""Cestun lla et'a?"" or ""Cestun et'a llaami?"" - ""What's the weather?"""
"Weather Flashcards, Full Page",weatherfullcards.pdf,,Alisha Drabek,2012,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","weather, flashcard, flashcards, summer, winter, fall, spring, presentation","Flashcards were originally developed for use with the Kodiak High School Alutiiq language class. The two core questions at the top of most of these resources are ""Cestun lla et'a?"" or ""Cestun et'a llaami?"" - ""What's the weather?"""
Weather Handout,weather_handouts.pdf,,Alisha Drabek,2012,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","weather, hot, cold, worksheet, handout, blank","Handout was originally developed for use with the Kodiak High School Alutiiq language class. The two core questions at the top of most of these resources are ""Cestun lla et'a?"" or ""Cestun et'a llaami?"" - ""What's the weather?"""
Weather,weather.pdf,,Alisha Drabek,2012,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","weather, handout, poster, worksheet, coloring","Developed as part of the Alutiiq language picture dictionary, this worksheet may be printed out as a poster, or as a coloring sheet for learning basic weather terminology."
Plant Habitats,planthabitats.pdf,,Alisha Drabek,2012,3 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Kodiak Island Borough School District, Native Village of Afognak, Other","habitat, plant, plants, land, poster, handout, worksheet, translation","Different plants grow best in different habitats. On Kodiak Island there are six main plant habitats where we find plants. To assist learners and teachers in learning the Alutiiq names for these habitats and other outdoor elements or features you can download this Plant Habitats in Alutiiq handout created by Alisha Drabek, including a translation key."
Plant Scavenger Hunt,plant_scavenger_hunt.pdf,,Gayla Pedersen,2013,5 - 12+,,"Science & TEK, Alutiiq Language","Land - nunapet, Subsistence - unguwacirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","plant, plants, game, hunt, scavenger, find, local","Created by Gayla Pedersen, this activity can help you learn about local plants as well as their Alutiiq names."
Actions Bingo,actions_pingua_cards.pdf,,Alisha Drabek,2013,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","action, actions, verb, verbs, bingo, game","There are infinite word lists for bingo games to be played. Here is a set of actions score cards (with 25 variations to mix up the potential call list so not everyone wins at once). The call list is available by searching bingo, or call list. You can also make your own bingo sets at www.eslactivities.com/picturebingo.php. Use pennies, popcorn or other small objects for participants to mark each square that is called out in Alutiiq. For introduction of new vocabulary you can also use Pingua as a learning game by acting out the action at the same time as saying the word, so learners can find the associated picture on their score card as they learn the new word."
Actions Bingo Call List,actions_pingua_cards_call_list.pdf,,Alisha Drabek,2013,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","bingo, actions, action, game, games, key, call list, call, list","There are infinite word lists for bingo games to be played. Here is the associated Alutiiq word call list. You can find the bingo cards by searching ""actions bingo"" or ""bingo"" also make your own bingo sets at www.eslactivities.com/picturebingo.php. Use pennies, popcorn or other small objects for participants to mark each square that is called out in Alutiiq. For introduction of new vocabulary you can also use Pingua as a learning game by acting out the action at the same time as saying the word, so learners can find the associated picture on their score card as they learn the new word."
Clue Guess Cards,clue_guess_card.pdf,,Alisha Drabek,2014,8 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"clue, game, board game, games, guess card",You can modify a Parker Brothers Clue game board and card set to create your own Alutiiq version of Clue. Use the vocabulary sheet for reference and to match the English to Alutiiq labels; print Clue Stickers onto Avery Laser Labels #5160 and adhere them to your board and card sets. Then print Clue Guess Cards for each player to use during the game to keep track of the clues you collect. Also available are a series of presentation slides or a page of study cards for classroom preparation.
Clue Game Vocabulary Sheet,clue_game_vocabulary_sheet.pdf,,Alisha Drabek,2014,8 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"clue, game, games, vocabulary, sheet, board game",You can modify a Parker Brothers Clue game board and card set to create your own Alutiiq version of Clue. Use the vocabulary sheet for reference and to match the English to Alutiiq labels; print Clue Stickers onto Avery Laser Labels #5160 and adhere them to your board and card sets. Then print Clue Guess Cards for each player to use during the game to keep track of the clues you collect. Also available are a series of presentation slides or a page of study cards for classroom preparation.
Clue Stickers,clue_stickers.pdf,,Alisha Drabek,2014,8 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"game, games, board game, clue, sticker, stickers, label, labels",You can modify a Parker Brothers Clue game board and card set to create your own Alutiiq version of Clue. Use the vocabulary sheet for reference and to match the English to Alutiiq labels; print Clue Stickers onto Avery Laser Labels #5160 and adhere them to your board and card sets. Then print Clue Guess Cards for each player to use during the game to keep track of the clues you collect. Also available are a series of presentation slides or a page of study cards for classroom preparation.
Clue Game Presentation Cards,clue_game_presentation_cards.pdf,,Alisha Drabek,2014,8 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"game, games, board game, clue, vocabulary, practice, presentation, card, cards",You can modify a Parker Brothers Clue game board and card set to create your own Alutiiq version of Clue. Use the vocabulary sheet for reference and to match the English to Alutiiq labels; print Clue Stickers onto Avery Laser Labels #5160 and adhere them to your board and card sets. Then print Clue Guess Cards for each player to use during the game to keep track of the clues you collect. Also available are a series of presentation slides or a page of study cards for classroom preparation.
Signage Labels,signage_labels_select.pdf,,Alisha Drabek,2014,5 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","labels, signs, signage, community, label, sign","The signage labels include names of places you will find around your community. Object Stickers set is intended to be printed on Avery Removable Laser Labels #6460, so that they can adhered (and later removed) to objects around your house or classroom."
Facilities and Room Names,facilities_and_room_names.pdf,,Alisha Drabek,2014,K - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"labels, label, sign, signs, signage, community",A list of spaces in English and Alutiiq that you will find in your community. Use this list to learn vocabulary related to your community and surroundings.
Word Wiinaq,,https://wiinaq.herokuapp.com/ems/,Will Monroe,2014,8 - 12+,,"Language Arts, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet",Other,"dictionary, word, wiinaq, word wiinaq, conjugate, verb, verb forms, chart","Developed by Will Monroe to help hypothesis how words will change based on who they are talking about, and when. Most of the words will follow the pattern identified in the database, however, just like in any language, some Alutiiq words are irregular and therefore may not be right. Use this tool to help you get an idea of how the word would change based on the context of the sentence."
Taquka'asurta Tan'uraq,bearhunterboy.pdf,,Jeff Leer,1976,5 - 12+,,"Science & TEK, Alutiiq Language","Stewardship - nunapet carlia'arluki, Learning - liicirpet, Language - Sugt'stun niuwacipet","Alaska Native Language Center, Other","bear, hunting, story, storytelling, stories, traditional story, traditional, boy","Story collected by Leer, and used as an example text in the Koniag Alutiiq Grammar, published by the Alaska Native Language Center in Fairbanks, Alaska."
Kiagumuuq!,kiagumuuq_compressed2.pdf,,Candace Branson,2014,K - 12+,,Alutiiq Language,"Land - nunapet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Afognak Native Corporation, Other","summer, story, stories, storytelling, Qbook, children, kiak","Short story about the signs of summer on Kodiak Island. Written by Candace Branson, and illustrated by David Tucker."
The Alutiiq Orthography: Kodiak Dialect,orthography_book_2nd_edition_.pdf,,"April G.L. Counceller Ph.D., Jeff Leer Ph.D.",2015,10 - 12+,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Alutiiq Heritage Foundation (Alutiiq Museum), Other","writing, letters, alphabet, orthography, reference, dictionary","By April G.L. Counceller Ph.D. and Jeff Leer Ph.D. with Nick Alokli, Kathryn Chichenoff, Mary Haakanson, Julie Knagin, Stella Krumrey, Florence Pestrikoff, Sophie Shepherd, Peter Boskofsky, and Alisha Drabek Ph.D. Development and publication support provided by the National Science Foundation, Grant #1153156."
Cisllat: Naliyat Iraluq Nutaan?,calendar.pdf,,"Alisha Drabek, April Laktonen Counceller",2009,5-Jan,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","calendar, numbers, year, day, month, books, book","Developed and published by Native Village of Afognak. Funded through a grant from Administration for Native Americans (ANA), Grant #90NL0413/01."
NuumiRat Naqlluki,countingnumbers.pdf,,"Alisha Drabek, April Laktonen Counceller",2009,K - 5,,"Math, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","number, numbers, counting, count, book, books, story",Developed and published by Native Village of Afognak. Funded through a grant from Administration for Native Americans (ANA) grant #90NL0413/01.
Guangnek Atkukutaartua,dressmyself.pdf,,Imogene Benton,2009,K - 5,,"Alutiiq Language, Health","Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","story, stories, book, children, books","Published by Native Village of Afognak. Developed after Gguangenek atkugelarrtua! , produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012, and Bethel Agency Bilingual Education Center, Bureau of Indian Affairs, Contract Number E00-C14202030. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Asisqanek Neq'rkangq'rtukut,good_food.pdf,,Helen Morris,2009,K - 8,,"Science & TEK, Alutiiq Language","Subsistence - unguwacirpet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","food, subsistence, traditional food, traditional foods, book, books, story, stories","Published by Native Village of Afognak. Developed after Pingqehtukut Asihqanek Neqnek , produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012 Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Pingakaqa Alagnarsurnek,i_like_berry_picking.pdf,,Helen Morris,2009,K - 5,,"Science & TEK, Alutiiq Language","Subsistence - unguwacirpet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","berry, berry picking, subsistence, berries, story, storybook, stories, book, books","Published by Native Village of Afognak. Developed after Pingakaq Qatqi'aneq, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Engluani,inherhouse.pdf,,Helen Morris,2009,K - 5,,Alutiiq Language,"Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","house, her, girl, story, stories, book, books, storybook","Published by Native Village of Afognak. Developed after Enemini, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012, and Bethel Agency Bilingual Education Center, Bureau of Indian Affairs, Contract Number E00-C14202030. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Qaingq'rtua,my_body.pdf,,Helen Morris,2009,K - 5,,"Alutiiq Language, Health","People - suupet, Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","body, bodies, boy, girl, story, stories, book, books, storytelling","Published by Native Village of Afognak. Developed after Temengqehtua, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012, and Bethel Agency Bilingual Education Center, Bureau of Indian Affairs, Contract Number E00-C14202030. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Uuqutiit Elwiat,the_bee_hive.pdf,,Carol Lagano,2009,K - 5,,"Math, Alutiiq Language","Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","numbers, number, count, counting, story, stories, book, books","Published by Native Village of Afognak. Developed after Uqqutit Ennit, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012, and Bethel Agency Bilingual Education Center, Bureau of Indian Affairs, Contract Number E00-C14202030. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Aiwirsuutet,transport.pdf,,Berniece Cooper,2009,-,,"Alutiiq Language, Technology","Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","transport, car, airplane, boat, book, books, story, stories, storybook","Published by Native Village of Afognak. Developed after Illawit, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Naam Aritegka?,where_are_my_mittens.pdf,,Imogene Benton,2009,K - 5,,"Alutiiq Language, Health","Learning - liicirpet, Language - Sugt'stun niuwacipet","Native Village of Afognak, Other","mitten, mittens, book, books, story, stories, storytelling","Published by Native Village of Afognak. Developed after Nama Ahitegka, produced by Chugachmiut, Inc., U.S. Department of Education, Grant Number S320A70012, and Bethel Agency Bilingual Education Center, Bureau of Indian Affairs, Contract Number E00-C14202030. Translated and reprinted from Chugachmiut Alutiiq to Kodiak Alutiiq through a grant from Administration for Native Americans (ANA), number 90NL0413/01."
Kodiak Alutiiq Language Revitalization: 2011-2015 Collaborative Strategic Planning,community_plan.pdf,,,2011,10 - 12+,,"Alutiiq Language, Health","Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Language - Sugt'stun niuwacipet","Alutiiq Heritage Foundation (Alutiiq Museum), Other","strategic plan, plan, strategy, community plan, community, language learning, learn, learning",Collaborative community strategic plan for 2011-2015.
